Categoria,Regalo,Link,Mostrar,Orden
Ideas,"Pañales: Babysec RN Super Premium o Pampers Premium Care, Huggies Nature Care",,Sí,1
Ideas,Copitas de plata,https://mamasmateas.com/products/copitas-de-plata-cala?_pos=1&_sid=7c9ffdfbf&_ss=,Sí,2
Ideas,Nido,https://mamasmateas.com/products/nido-gris,Sí,3
Ideas,Silla mecedora,https://www.falabella.com/falabella-cl/product/133733532/Silla-Nido-Cassia-Maxi-Cosi/133733533,Sí,4
Ideas,Cojín amamantar,https://infanti.cl/collections/ropa-de-cuna-y-cojin/products/cojin-de-lactancia-menta,Sí,5
Ideas,Momcozy extractor de leche doble M9,https://mamasmateas.com/products/extractor-de-leche-materna-m9-doble?gad_source=1&gad_campaignid=19638190475&gbraid=0AAAAAodjJSrR0fnSin5UFRhxWm0PHIVLH,Sí,6
Ideas,Camisas de dormir maternal,,Sí,7
Ideas,Pijama Baby,https://littlebee.cl/products/pijama-baby-butterflies,Sí,8
Ideas,Pijama Baby Blossom,https://littlebee.cl/products/pijama-baby-blossom-1?pr_prod_strat=jac&pr_rec_id=d4ea0dca0&pr_rec_pid=7736482168909&pr_ref_pid=7744539328589&pr_seq=uniform,Sí,9
Ideas,Pijama Baby Nina White Bee,https://littlebee.cl/products/pijama-baby-nina-white-bee,Sí,10
Ideas,Mudador anatómico,https://mamasmateas.com/products/mudador-anatomico-doble-rosa-rayas-blancas?_pos=6&_sid=813dab56b&_ss=r,Sí,11
Ideas,Funda mudador,https://mamasmateas.com/products/funda-de-algodon-para-mudador-anatomico,Sí,12
Ideas,Basurero pañales,https://mamasmateas.com/products/contenedor-de-panales-plateado,Sí,13
Ideas,Espejo auto,https://infanti.cl/collections/lo-mas-vendido/products/espejo-retrovisor-groot,Sí,14
Ideas,Parasol,https://infanti.cl/collections/lo-mas-vendido/products/parasol-sunny-travel,Sí,15
Ideas,Calentador leche,https://infanti.cl/collections/lo-mas-vendido/products/calentador-de-biberones-milan,Sí,16
Ideas,Monitor Infanti,https://www.sodimac.cl/sodimac-cl/articulo/133604041/Video-Monitor-INFANTI-803-Vision-Nocturna/133604042,Sí,17
Ideas,Monitor Bebesit,https://www.lider.cl/ip/para-cada-etapa/camara-monitor-portatil-bebe-lcd-2-4-vision-nocturna-bebesit/00780468472210?channable=05f25469640030303738303436383437323231302a&utm_campaign=knasta&utm_source=knasta.cl&utm_medium=knasta&utm_term=00780468472210&utm_content=00780468472210,Sí,18
Ideas,Neceser Baby,https://mamasmateas.com/products/set-de-esenciales-para-recien-nacido,Sí,19
Ideas,Esterilizador,https://infanti.cl/products/esterilizador-p-microondas-s-accesorios?variant=48246552068372&country=CL&currency=CLP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&tw_source=google&tw_adid=772189162011&tw_campaign=22975660700&utm_medium=paid_cpc&utm_campaignname=&utm_content=&utm_term=&gad_source=1&gad_campaignid=22975660700&gbraid=0AAAAAo4fwr1C4T2QprLBPH9Lmr3XtjUPv&gclid=Cj0KCQjw7IjOBhDyARIsAFzrWQyBJkLVLOufqzwNDho-51xd2bc9RXwVIRgEIJw3nd9ZUdJPs_ZO4QQaAv6oEALw_wcB,Sí,20
Ideas,Set Mamaderas,https://mamasmateas.com/products/set-mamaderas-natural-response-con-cepillo-y-chupete-0-2-meses-2-mamaderas-de-125-ml-y-2-mamaderas-de-260-ml-traslucido?_pos=6&_sid=9bb3ad95e&_ss=r,Sí,21
Ideas,Termómetro,https://infanti.cl/collections/salud-y-cuidado-del-bebe/products/termometro-de-oido-bebe-confort,Sí,22
Ideas,Termómetro ducha,https://infanti.cl/collections/salud-y-cuidado-del-bebe/products/termometro-de-ducha-pinguino-bebe-confort-azul,Sí,23
Ideas,Playmat,https://urbano.cl/products/copia-de-alfombra-playmat-plegable-montanitas-200-180-cms?variant=47495764476184&country=CL&currency=CLP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Sí,24
